bigquery_key,client_ip,count_rtt,download_flag,download_octets,download_time,id,isp,seattle_blkgrpce10,seattle_council_districts,server_ip,sum_rtt,test_id,timestamp,upload_octets,upload_time
131827772893585,644382042,2,false,1264,245665,7028788,AS174 Cogent Communications,530330082001,7,1072947224,483,2015/07/02/20150702T14:30:59.726722000Z_edge.satorisoftware.com:64091.c2s_snaplog.gz,1435847462,1264,245665
133028460654449,3480640136,0,false,0,0,7028789,centurylink,,,644218977,0,2015/07/02/20150702T14:40:10.868604000Z_207-118-90-136.dyn.centurytel.net:52497.c2s_snaplog.gz,1435848019,0,0
10335876125813472648,3480640136,1258,true,30121856,10330127,7028790,centurylink,,,644218977,153772,2015/07/02/20150702T14:40:10.868604000Z_207-118-90-136.dyn.centurytel.net:52505.s2c_snaplog.gz,1435848031,30121856,10330127
1331891901024653,2889359503,0,false,0,0,7028791,t-mobile,530330081002,7,644218963,0,2015/07/01/20150701T19:17:35.242414000Z_172.56.32.143:25217.c2s_snaplog.gz,1435778270,0,0
11087932208420864404,2889359503,2084,true,46581376,11037403,7028792,t-mobile,530330081002,7,644218963,1457530,2015/07/01/20150701T19:17:35.242414000Z_172.56.32.143:60150.s2c_snaplog.gz,1435778282,46581376,11037403
13232079094115603,1276963329,0,false,0,0,7028793,comcast,,,71802277,0,2015/07/03/20150703T04:09:03.854507000Z_c-76-28-234-1.hsd1.wa.comcast.net:56032.c2s_snaplog.gz,1435896555,0,0
102337701440151411420,1276963329,1440,true,132703232,10223198,7028794,comcast,,,71802277,36340,2015/07/03/20150703T04:09:03.854507000Z_c-76-28-234-1.hsd1.wa.comcast.net:56135.s2c_snaplog.gz,1435896566,132703232,10223198
1323030011176705,403732102,1,false,0,0,7028795,comcast,,,71802277,15,2015/07/04/20150704T08:33:57.125902000Z_c-24-16-118-134.hsd1.wa.comcast.net:62454.c2s_snaplog.gz,1435998854,0,0
13246873036902195,1759253547,0,false,0,0,7028796,wave,,,1114513509,0,2015/07/03/20150703T04:55:43.975141000Z_104.220.20.43:55083.c2s_snaplog.gz,1435899352,0,0
10240900390241929817,1759253547,3902,true,114197664,10235556,7028797,wave,,,1114513509,124485,2015/07/03/20150703T04:55:43.975141000Z_104.220.20.43:55089.s2c_snaplog.gz,1435899364,114197664,10235556
13371779052683340,847535076,0,false,0,0,7028798,comcast,530330046001,,71802277,0,2015/07/02/20150702T03:53:17.236716000Z_c-50-132-91-228.hsd1.wa.comcast.net:49589.c2s_snaplog.gz,1435809209,0,0
10212785973106810736,847535076,973,true,124746848,10206209,7028799,comcast,530330046001,,71802277,19521,2015/07/02/20150702T03:53:17.236716000Z_c-50-132-91-228.hsd1.wa.comcast.net:49595.s2c_snaplog.gz,1435809224,124746848,10206209
12311101065364510,1659399227,0,false,0,0,7028800,comcast,,,71802264,0,2015/07/02/20150702T03:47:00.83997000Z_c-98-232-108-59.hsd1.wa.comcast.net:50073.c2s_snaplog.gz,1435808829,0,0
103039134137455536648,1659399227,4137,true,424107840,10303907,7028801,comcast,,,71802264,207674,2015/07/02/20150702T03:47:00.83997000Z_c-98-232-108-59.hsd1.wa.comcast.net:50075.s2c_snaplog.gz,1435808840,424107840,10303907
125238501103555485,412048899,1,false,0,0,7028802,wave,530330095002,3,644218963,12,2015/07/02/20150702T03:48:05.105859000Z_c-24-143-94-3.customer.broadstripe.net:49897.c2s_snaplog.gz,1435808887,0,0
104046053803469718330,412048899,3803,true,210160384,10401550,7028803,wave,530330095002,3,644218963,109169,2015/07/02/20150702T03:48:05.105859000Z_c-24-143-94-3.customer.broadstripe.net:49900.s2c_snaplog.gz,1435808898,210160384,10401550
125448071105085781,412048899,1,false,0,0,7028804,wave,530330095002,3,644218963,15,2015/07/02/20150702T03:47:25.83473000Z_c-24-143-94-3.customer.broadstripe.net:49883.c2s_snaplog.gz,1435808847,0,0
103751144866542732879,412048899,4866,true,375707648,10365624,7028805,wave,530330095002,3,644218963,325882,2015/07/02/20150702T03:47:25.83473000Z_c-24-143-94-3.customer.broadstripe.net:49891.s2c_snaplog.gz,1435808858,375707648,10365624
131378250673491,410079215,0,false,0,0,7028806,wave,,,1072947211,0,2015/07/02/20150702T03:47:55.394982000Z_24-113-79-239.wavecable.com:49815.c2s_snaplog.gz,1435808883,0,0
101285227484787617406,410079215,7484,true,202216928,10125840,7028807,wave,,,1072947211,227114,2015/07/02/20150702T03:47:55.394982000Z_24-113-79-239.wavecable.com:49825.s2c_snaplog.gz,1435808895,202216928,10125840
1323402209570,849307638,0,false,0,0,7028808,comcast,,,2915894053,0,2015/07/01/20150701T05:42:03.728883000Z_c-50-159-103-246.hsd1.wa.comcast.net:58442.c2s_snaplog.gz,1435729334,0,0
103311854263127,849307638,42,true,1376928,9931738,7028809,comcast,,,2915894053,11796,2015/07/01/20150701T05:42:03.728883000Z_c-50-159-103-246.hsd1.wa.comcast.net:58455.s2c_snaplog.gz,1435729348,1376928,9931738
13115382152362771,1113033683,1,false,0,0,7028810,sprint,,,2915894027,58,2015/07/01/20150701T05:36:08.642839000Z_66-87-139-211.pools.spcsdns.net:14820.c2s_snaplog.gz,1435728986,0,0
10428244350938267953,1113033683,3509,true,86106672,10408956,7028811,sprint,,,2915894027,317750,2015/07/01/20150701T05:36:08.642839000Z_66-87-139-211.pools.spcsdns.net:24452.s2c_snaplog.gz,1435728997,86106672,10408956
13351075047702837,410073151,0,false,0,0,7028812,wave,,,644218989,0,2015/07/03/20150703T12:21:00.245174000Z_24-113-56-63.wavecable.com:57306.c2s_snaplog.gz,1435926072,0,0
10331034164261698243752,410073151,16426,true,509571968,10329475,7028813,wave,,,644218989,598962,2015/07/03/20150703T12:21:00.245174000Z_24-113-56-63.wavecable.com:57308.s2c_snaplog.gz,1435926084,509571968,10329475
